,Image,F1,Jaccard,Recall,Precision
0,1624.png,0.8690148596587782,0.7683698296836983,0.8367779544250132,0.9038351459645106
1,2684.png,0.8241308793456033,0.7008695652173913,0.7008695652173913,1.0
2,138.png,0.0,0.0,0.0,0.0
3,1948.png,0.23237800154918667,0.13146362839614373,0.13157894736842105,0.9933774834437086
4,2699.png,0.8862016843014467,0.7956572314850717,0.8053375196232339,0.985117618819011
5,2084.png,0.5883898082479643,0.4168217342761444,0.4337722695584818,0.9142857142857143
6,2036.png,0.950469684030743,0.9056143205858421,0.9553648068669528,0.945624468988955
7,1626.png,0.9561025120527785,0.9158969372873116,0.9491183879093199,0.9631901840490797
8,1470.png,0.8323353293413174,0.7128205128205128,0.9084967320261438,0.7679558011049724
9,2921.png,0.8978282329713722,0.8145991939095387,0.9869777536625067,0.8234495246717972
10,1577.png,0.8700947225981055,0.770059880239521,1.0,0.770059880239521
11,2541.png,0.7203791469194313,0.562962962962963,1.0,0.562962962962963
12,2493.png,0.9679430097951914,0.9378774805867127,0.9718372820742065,0.964079822616408
13,2950.png,0.9642925338934505,0.931047197640118,0.9715275105809927,0.9571645185746778
14,1993.png,0.9039843239712606,0.8247914183551848,0.9631176061238692,0.8516923076923076
15,162.png,0.9557796741660202,0.9153046062407132,0.9580093312597201,0.9535603715170279
16,1871.png,0.9272052526405937,0.8642895156998404,0.9007210205213533,0.9552941176470588
17,2590.png,0.82560706401766,0.7030075187969925,0.7030075187969925,1.0
18,2765.png,0.7301128905224469,0.5749431465784577,0.5938500960922486,0.9475298126064736
19,962.png,0.8949044585987261,0.8097982708933718,0.8192419825072886,0.9859649122807017
20,241.png,0.9068541300527241,0.8295819935691319,0.9591078066914498,0.86
21,674.png,0.8981348637015782,0.8151041666666666,0.8816901408450705,0.9152046783625731
22,1818.png,0.864,0.7605633802816901,0.942643391521197,0.7974683544303798
23,2332.png,0.052349791790600834,0.02687843616371411,0.02962962962962963,0.22448979591836735
24,2490.png,0.9365412562570644,0.8806559368357121,0.8958912573370404,0.9810554803788903
